year,avg_length_of_stay,tourist_arrivals_millions,tourist_receipts_rm000,rm_spend_day
2000,1.81,2.17,1148.46,292.4
2001,1.98,2.57,1581.54,310.8
2002,2.02,2.98,1497.07,248.703
2003,1.34,3.6,1348.8,279.499
2004,1.58,4.01,1994.32,314.771
2005,1.78,4.69,2661.66,318.83
2006,1.86,5.1,3161.32,333.403
2007,1.87,6,3172.05,281.62
2008,1.88,7.21,3853.66,284.48
2009,1.89,8.91,4481.75,266.28
2010,2.13,10.35,6331.89,287.09
2011,2.15,12.17,7641.05,294.87
2012,2.25,13.71,9107.55,295.22
2013,2.28,14.31,10997.32,337
2014,2.01,15.03,12013.24,397.6
2015,2.18,15.74,1675975,488.53
2016,2.16,16.28,18289.49,520.04
2017,2.25,16.79,19651.04,445.9
2018,2.46,17.02,20979.52,501.07
2019,2.55,18.73,21298.6,446
