,Total Tourists
Brunei,273020
Cambodia,220678
Indonesia,6489144
Laos,229435
Myanmar,186811
Philippines,469535
Singapore,13300924
Thailand,895060
Vietnam,1399647
EASTERN ASIA,19869549
China,13399441
Hong Kong,1759151
Japan,1639186
South Korea,950619
Taiwan,2121072
SOUTHERN ASIA,744295
Bangladesh,137952
India,400321
Pakistan,91513
Nepal,46260
Sri Lanka,68249
WEST ASIA,597200
Egypt,23841
Iraq,25956
Iran,67099
Jordan,18123
Kuwait,27661
Lebanon,7458
Oman,17171
Saudi Arabia,253386
Syria,15866
Turkey,32586
UAE,69253
OTHERS WEST ASIA,38800
CARRIBEAN,14792
Bahamas,8344
Cuba,6448
AMERICA,622055
Mexico,19582
Canada,146024
USA,358581
Argentina,24141
Brazil,40851
Venezuela,16417
OTHERS SOUTHERN AMERICA,16459
OCEANIA,688837
Australia,558372
New Zealand,123445
Papua New Guinea,7020
EUROPE,2202147
Russia,81525
OTHERS EASTERN EUROPE,68444
Denmark,79973
Finland,44302
Ireland,66852
Norway,37579
Portugal,23549
Sweden,65108
United Kingdom,440153
Greece,12371
Italy,104629
Spain,51312
Austria,52720
Belgium,49846
France,246759
Germany,271243
Hungary,27656
Luxembourg,17434
Netherlands,296760
Romania,13615
Switzerland,100588
OTHERS WESTERN EUROPE,49729
AFRICA,125799
South Africa,65987
OTHERS AFRICA,59812
OTHERS,6491937
