TAHUN,JUMLAH,DOMESTIK,ASING,ASEAN,Brunei,Cambodia,Indonesia,Laos,Malaysia,Myanmar,Philippines,Singapore,Thailand,Vietnam,EASTERN ASIA,China,Hong Kong,Japan,South Korea,Taiwan,SOUTHERN ASIA,Bangladesh,India,Pakistan,Nepal,Sri Lanka,WEST ASIA,Egypt,Iraq,Iran,Jordan,Kuwait,Lebanon,Oman,Saudi Arabia,Syria,Turkey,UAE,OTHERS WEST ASIA,CARRIBEAN,Bahamas,Cuba,AMERICA,Mexico,Canada,USA,Argentina,Brazil,Venezuela,OTHERS SOUTHERN AMERICA,OCEANIA,Australia,New Zealand,Papua New Guinea,EUROPE,Russia,OTHERS EASTERN EUROPE,Denmark,Finland,Ireland,Norway,Portugal,Sweden,United Kingdom,Greece,Italy,Spain,Austria,Belgium,France,Germany,Hungary,Luxembourg,Netherlands,Romania,Switzerland,OTHERS WESTERN EUROPE,AFRICA,South Africa,OTHERS AFRICA,OTHERS
2000,2169987,1129467,1040520,1601280,648,0,31740,0,1129467,0,4798,431630,2997,0,438599,295420,47190,66842,4462,24685,3047,0,3047,0,0,0,2052,0,0,0,0,0,0,0,0,0,0,0,2052,0,0,0,17262,0,3724,12928,0,0,0,610,15559,12280,3279,0,66465,305,2277,1262,683,1280,877,0,1699,18817,0,3029,0,0,812,5927,9525,0,681,12189,0,0,7102,1968,1838,130,24060
2001,2568598,1528971,1039627,2042318,1350,0,69335,0,1528971,0,4760,432944,4958,0,402591,266186,53159,53352,4799,25095,5682,0,5682,0,0,0,1382,0,0,0,0,0,0,0,0,0,0,0,1382,0,0,0,15309,0,3173,11304,0,0,0,832,16834,13218,3616,0,66385,1698,1221,2145,864,1038,575,0,1532,17089,0,2821,0,0,1017,5697,8017,0,114,16201,0,0,6356,1016,646,370,17081
2002,2976187,1842336,1133851,2347403,1075,0,81974,0,1842336,0,3844,412976,5198,0,497412,342767,54085,59198,5048,36314,7200,0,7200,0,0,0,2151,0,0,0,0,0,0,0,0,0,0,0,2151,0,0,0,16800,0,3314,12924,0,0,0,562,16412,13497,2915,0,71997,784,1342,1595,435,1080,1036,0,1890,18313,0,3066,0,0,964,6263,10388,0,128,16029,0,0,8684,3397,986,2411,13415
2003,3602948,2860336,742612,3207325,1152,415,79427,237,2860336,145,3561,246602,8572,6878,323293,230209,39858,34057,4144,15025,4219,0,4219,0,0,0,1212,0,0,0,0,0,0,0,0,0,0,0,1212,0,0,0,9542,0,1856,7469,0,0,0,217,8436,6951,1485,0,41860,241,372,938,569,1030,671,0,1472,12038,0,1534,0,0,521,3468,7256,0,39,7773,0,0,3938,472,228,244,6589
2004,4005038,2987310,1017728,3398087,2421,337,100594,141,2987310,565,4693,273151,5703,23172,356396,247552,41363,24386,3638,39457,4024,424,2937,258,0,405,14615,9,65,139,74,66,14,14,1132,12,129,12452,509,0,0,0,6801,25,1407,4980,83,295,11,0,7720,6423,1279,18,30672,432,0,1099,332,473,557,30,741,8964,6,1869,285,332,637,3196,3940,20,189,6025,4,1541,0,929,929,0,185794
2005,4695762,3719292,976470,4105839,1084,107,121606,37,3719292,203,3498,218681,6591,34740,304971,193030,54586,22705,5745,28905,7824,373,6796,546,0,109,18158,18,28,723,56,38,12,856,15733,310,40,342,2,0,0,0,6064,4,1712,4246,11,70,0,21,8950,7046,1904,0,33867,618,0,893,237,547,533,11,2164,8658,6,1541,447,316,725,4065,4302,0,98,6537,9,2160,0,811,663,148,209278
2006,5097832,3964477,1133355,4354862,925,116,105986,56,3964477,156,3860,244403,7848,27035,328599,205121,44630,20799,17130,40919,22374,488,20923,636,0,327,53343,14,24,129,15,64,34,210,32215,0,52,20583,3,18,18,0,10171,26,2557,7490,87,10,1,0,9689,8153,1536,0,40612,878,0,2125,819,420,545,70,2640,12129,0,2328,266,476,910,4988,5454,0,129,4895,10,1530,0,873,367,506,277291
2007,6023311,4857248,1366063,5108400,978,177,128057,149,4657248,282,4641,263235,14172,39461,399283,232426,59558,25625,34889,46705,24172,803,21755,1114,0,500,61364,71,40,397,20,54,72,420,59008,38,79,571,594,1,1,0,16926,21,5366,11487,32,12,8,0,16085,11729,4350,6,69190,2203,0,4735,1175,1694,681,41,5661,16484,6,2644,340,499,1284,6984,9220,90,115,9304,19,6011,0,1273,722,551,326697
2008,7205492,6004105,1201387,6400873,1356,308,106612,291,6004105,357,3404,236763,12548,35129,303377,188683,44030,24135,15782,30747,22078,460,19775,1541,0,302,26160,27,204,3735,77,146,16,221,20274,64,184,759,453,10,10,0,11278,23,2216,8971,7,53,8,0,10575,9220,1347,8,48029,873,0,1848,830,714,820,96,3034,12810,22,2497,552,622,769,5750,7406,30,30,7438,28,1856,4,2660,804,1856,380452
2009,8905273,7293762,1611511,7779732,1747,3896,136975,692,7293762,2375,4974,277875,16215,41221,318781,201381,37740,30792,15628,33240,38502,1174,33180,2402,0,1746,28425,299,671,6551,83,666,106,139,16664,247,552,1926,521,12,0,12,22434,94,2307,19604,71,263,95,0,13438,11770,1643,25,49956,458,0,1637,404,624,449,139,3829,22429,35,1561,840,642,598,4235,3755,45,48,6191,63,1971,3,2736,1464,1272,651257
